,Date,Open,High,Low,Close,Volume
24912,2020-06-24 13:00:00,240.42000000,240.98000000,238.41000000,238.63000000,35790.11027000
24913,2020-06-24 14:00:00,238.63000000,239.19000000,235.00000000,235.65000000,80755.76509000
24914,2020-06-24 15:00:00,235.63000000,236.46000000,231.07000000,232.10000000,110924.75734000
24915,2020-06-24 16:00:00,232.10000000,234.35000000,231.32000000,233.90000000,49877.11205000
24916,2020-06-24 17:00:00,233.88000000,234.38000000,233.12000000,234.19000000,17277.63577000
24917,2020-06-24 18:00:00,234.19000000,235.07000000,233.80000000,233.99000000,25694.46120000
24918,2020-06-24 19:00:00,234.00000000,235.21000000,233.43000000,233.82000000,17690.55992000
24919,2020-06-24 20:00:00,233.81000000,235.17000000,233.50000000,235.05000000,14459.54793000
24920,2020-06-24 21:00:00,235.02000000,235.46000000,233.57000000,234.83000000,18248.56157000
24921,2020-06-24 22:00:00,234.83000000,235.45000000,234.46000000,234.90000000,12267.26639000
24922,2020-06-24 23:00:00,234.89000000,235.77000000,234.12000000,234.58000000,22674.90759000
24923,2020-06-25 00:00:00,234.57000000,234.91000000,233.42000000,234.11000000,19613.89293000
24924,2020-06-25 01:00:00,234.16000000,235.39000000,234.07000000,234.24000000,15902.75024000
24925,2020-06-25 02:00:00,234.23000000,234.45000000,232.54000000,233.48000000,26859.53428000
24926,2020-06-25 03:00:00,233.47000000,233.54000000,227.56000000,229.67000000,108543.30778000
24927,2020-06-25 04:00:00,229.69000000,231.01000000,229.47000000,229.94000000,37044.74677000
24928,2020-06-25 05:00:00,229.94000000,232.37000000,229.47000000,231.90000000,35504.63873000
24929,2020-06-25 06:00:00,231.91000000,232.69000000,231.79000000,232.20000000,18773.95178000
24930,2020-06-25 07:00:00,232.20000000,232.46000000,230.58000000,231.31000000,25168.67133000
24931,2020-06-25 08:00:00,231.33000000,235.04000000,231.33000000,234.48000000,47706.73527000
24932,2020-06-25 09:00:00,234.48000000,234.73000000,233.65000000,233.83000000,19063.03336000
24933,2020-06-25 10:00:00,233.82000000,234.60000000,233.63000000,234.03000000,14735.66606000
24934,2020-06-25 11:00:00,234.01000000,235.38000000,233.54000000,234.41000000,22655.28902000
24935,2020-06-25 12:00:00,234.39000000,234.63000000,231.81000000,232.17000000,39386.01938000
